Altium Designer Pick and Place Locations
C:\Users\krist\OneDrive\Documents\Altium Designer\ELEC3117\Amb_Enviro_MCU_PCB\Project Outputs for Amb_Enviro_MCU_PCB\Pick Place for MCU_Transceiver_Board.csv

========================================================================================================================
File Design Information:

Date:       21/07/22
Time:       14:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C3","0.1uF","TopLayer","CAPC3216X180N","2685.000","3415.000","0","Capacitor, C5C1H104FA16L"
"R20","Res3","TopLayer","J1-0603","2855.000","2725.472","270","Resistor"
"C29","0.1uF","TopLayer","CAPC3216X180N","3275.000","2794.331","90","Capacitor, GCM31C5C1H104FA16L, 1206"
"C28","0.1uF","BottomLayer","CAPC3216X180N","3535.000","2935.000","180","Capacitor, GCM31C5C1H104FA16L, 1206"
"MIC2","ICS-43432","BottomLayer","ICS43432","3464.311","2775.000","180","Integrated Circuit"
"J4","68000-105HTLF","TopLayer","HDRV5W67P0X254_1X5_1270X241X858P","2865.000","4755.000","0","Connector"
"S2","JS202011SCQN","TopLayer","JS202011SCQN","1485.000","3590.000","90","Switch"
"C20","0.1uF","BottomLayer","CAPC3216X180N","1615.000","4305.000","0","Capacitor, GCM31C5C1H104FA16L, 1206"
"BatteryHold","1053","TopLayer","1053","1828.189","4344.420","180","Undefined or Miscellaneous"
"R6","62R","BottomLayer","ERJH3","2940.000","4085.000","90","Resistor, ERJ-H3EF62R0V, 62ohms"
"R5","62R","BottomLayer","ERJH3","3065.000","4085.000","90","Resistor, ERJ-H3EF62R0V, 62ohms"
"R4","62R","BottomLayer","ERJH3","3190.000","4085.000","90","Resistor, ERJ-H3EF62R0V, 62ohms"
"H","KP-1608CGCK","TopLayer","LEDC1608X120N","3070.000","3765.000","90","LED"
"LED3","KP-1608CGCK","TopLayer","LEDC1608X120N","3165.000","3765.000","90","LED"
"L","KP-1608CGCK","TopLayer","LEDC1608X120N","3255.000","3765.000","90","LED"
"Z1","PTZTFTE253.3B","BottomLayer","DIOM5026X220N","1620.000","3965.000","180","Zener Diode"
"USB A","USB-A1HSB6","TopLayer","USBA1HSB6","1476.653","2964.370","270","Connector"
"U4","SOT23_6","BottomLayer","SOT95P275X110-6N","2070.000","4240.000","180",""
"U2","MAX1555EZK+T","BottomLayer","SOT95P275X110-5N","1891.378","3970.000","180","Integrated Circuit"
